unit,sex,age,geo,time,values,week,year,date,datum_fiktivni,max,min
NR,T,TOTAL,CZ,2019W28,1956,28,2019,2019-07-14,2020-07-14,2218,1833
NR,T,TOTAL,CZ,2019W27,2046,27,2019,2019-07-07,2020-07-07,2101,1777
NR,T,TOTAL,CZ,2019W26,2067,26,2019,2019-06-30,2020-06-30,2067,1790
NR,T,TOTAL,CZ,2019W25,1980,25,2019,2019-06-23,2020-06-23,2338,1761
NR,T,TOTAL,CZ,2019W24,2145,24,2019,2019-06-16,2020-06-16,2145,1861
NR,T,TOTAL,CZ,2019W23,2020,23,2019,2019-06-09,2020-06-09,2183,1836
NR,T,TOTAL,CZ,2019W22,2093,22,2019,2019-06-02,2020-06-02,2093,1830
NR,T,TOTAL,CZ,2019W21,1995,21,2019,2019-05-26,2020-05-26,2069,1892
NR,T,TOTAL,CZ,2019W20,2025,20,2019,2019-05-19,2020-05-19,2025,1876
NR,T,TOTAL,CZ,2019W19,2093,19,2019,2019-05-12,2020-05-12,2093,1904
NR,T,TOTAL,CZ,2019W18,2051,18,2019,2019-05-05,2020-05-05,2102,1897
NR,T,TOTAL,CZ,2019W17,2103,17,2019,2019-04-28,2020-04-28,2258,1957
NR,T,TOTAL,CZ,2019W16,2094,16,2019,2019-04-21,2020-04-21,2192,1949
NR,T,TOTAL,CZ,2019W15,2145,15,2019,2019-04-14,2020-04-14,2272,1948
NR,T,TOTAL,CZ,2019W14,2131,14,2019,2019-04-07,2020-04-07,2448,1953
NR,T,TOTAL,CZ,2019W13,2124,13,2019,2019-03-31,2020-03-31,2383,2027
NR,T,TOTAL,CZ,2019W12,2198,12,2019,2019-03-24,2020-03-24,2607,2045
NR,T,TOTAL,CZ,2019W11,2262,11,2019,2019-03-17,2020-03-17,2782,2020
NR,T,TOTAL,CZ,2019W10,2383,10,2019,2019-03-10,2020-03-10,2994,2032
NR,T,TOTAL,CZ,2019W09,2313,9,2019,2019-03-03,2020-03-03,2819,2011
NR,T,TOTAL,CZ,2019W08,2496,8,2019,2019-02-24,2020-02-24,2754,2083
NR,T,TOTAL,CZ,2019W07,2509,7,2019,2019-02-17,2020-02-17,2732,2054
NR,T,TOTAL,CZ,2019W06,2445,6,2019,2019-02-10,2020-02-10,2640,2024
NR,T,TOTAL,CZ,2019W05,2497,5,2019,2019-02-03,2020-02-03,2598,2091
NR,T,TOTAL,CZ,2019W04,2365,4,2019,2019-01-27,2020-01-27,2761,2011
NR,T,TOTAL,CZ,2019W03,2311,3,2019,2019-01-20,2020-01-20,2833,1997
NR,T,TOTAL,CZ,2019W02,2290,2,2019,2019-01-13,2020-01-13,2811,1978
NR,T,TOTAL,CZ,2019W01,2321,1,2019,2019-01-06,2020-01-06,2763,2099
NR,T,TOTAL,CZ,2018W52,2145,52,2018,2018-12-30,2020-12-30,2620,1967
NR,T,TOTAL,CZ,2018W51,2303,51,2018,2018-12-23,2020-12-23,2435,1951
NR,T,TOTAL,CZ,2018W50,2136,50,2018,2018-12-16,2020-12-16,2226,1926
NR,T,TOTAL,CZ,2018W49,2194,49,2018,2018-12-09,2020-12-09,2241,1986
NR,T,TOTAL,CZ,2018W48,2095,48,2018,2018-12-02,2020-12-02,2153,1903
NR,T,TOTAL,CZ,2018W47,2141,47,2018,2018-11-25,2020-11-25,2173,1865
NR,T,TOTAL,CZ,2018W46,1991,46,2018,2018-11-18,2020-11-18,2231,1911
NR,T,TOTAL,CZ,2018W45,2046,45,2018,2018-11-11,2020-11-11,2110,1881
NR,T,TOTAL,CZ,2018W44,2148,44,2018,2018-11-04,2020-11-04,2148,1862
NR,T,TOTAL,CZ,2018W43,2024,43,2018,2018-10-28,2020-10-28,2139,1945
NR,T,TOTAL,CZ,2018W42,2014,42,2018,2018-10-21,2020-10-21,2142,1924
NR,T,TOTAL,CZ,2018W41,2076,41,2018,2018-10-14,2020-10-14,2197,1988
NR,T,TOTAL,CZ,2018W40,2123,40,2018,2018-10-07,2020-10-07,2235,1920
NR,T,TOTAL,CZ,2018W39,1906,39,2018,2018-09-30,2020-09-30,2157,1874
NR,T,TOTAL,CZ,2018W38,2056,38,2018,2018-09-23,2020-09-23,2134,1834
NR,T,TOTAL,CZ,2018W37,2014,37,2018,2018-09-16,2020-09-16,2026,1877
NR,T,TOTAL,CZ,2018W36,1979,36,2018,2018-09-09,2020-09-09,2029,1849
NR,T,TOTAL,CZ,2018W35,1902,35,2018,2018-09-02,2020-09-02,2151,1715
NR,T,TOTAL,CZ,2018W34,2004,34,2018,2018-08-26,2020-08-26,2078,1813
NR,T,TOTAL,CZ,2018W33,1923,33,2018,2018-08-19,2020-08-19,2521,1757
NR,T,TOTAL,CZ,2018W32,2118,32,2018,2018-08-12,2020-08-12,2156,1758
NR,T,TOTAL,CZ,2018W31,2379,31,2018,2018-08-05,2020-08-05,2379,1712
NR,T,TOTAL,CZ,2018W30,2153,30,2018,2018-07-29,2020-07-29,2171,1770
NR,T,TOTAL,CZ,2018W29,2039,29,2018,2018-07-22,2020-07-22,2214,1753
NR,T,TOTAL,CZ,2018W28,2041,28,2018,2018-07-15,2020-07-15,2218,1833
NR,T,TOTAL,CZ,2018W27,1979,27,2018,2018-07-08,2020-07-08,2101,1777
NR,T,TOTAL,CZ,2018W26,1940,26,2018,2018-07-01,2020-07-01,2067,1790
NR,T,TOTAL,CZ,2018W25,1964,25,2018,2018-06-24,2020-06-24,2338,1761
NR,T,TOTAL,CZ,2018W24,1863,24,2018,2018-06-17,2020-06-17,2145,1861
NR,T,TOTAL,CZ,2018W23,2038,23,2018,2018-06-10,2020-06-10,2183,1836
NR,T,TOTAL,CZ,2018W22,1995,22,2018,2018-06-03,2020-06-03,2093,1830
NR,T,TOTAL,CZ,2018W21,2013,21,2018,2018-05-27,2020-05-27,2069,1892
NR,T,TOTAL,CZ,2018W20,1962,20,2018,2018-05-20,2020-05-20,2025,1876
NR,T,TOTAL,CZ,2018W19,1958,19,2018,2018-05-13,2020-05-13,2093,1904
NR,T,TOTAL,CZ,2018W18,2022,18,2018,2018-05-06,2020-05-06,2102,1897
NR,T,TOTAL,CZ,2018W17,2090,17,2018,2018-04-29,2020-04-29,2258,1957
NR,T,TOTAL,CZ,2018W16,2061,16,2018,2018-04-22,2020-04-22,2192,1949
NR,T,TOTAL,CZ,2018W15,2257,15,2018,2018-04-15,2020-04-15,2272,1948
NR,T,TOTAL,CZ,2018W14,2262,14,2018,2018-04-08,2020-04-08,2448,1953
NR,T,TOTAL,CZ,2018W13,2383,13,2018,2018-04-01,2020-04-01,2383,2027
NR,T,TOTAL,CZ,2018W12,2607,12,2018,2018-03-25,2020-03-25,2607,2045
NR,T,TOTAL,CZ,2018W11,2782,11,2018,2018-03-18,2020-03-18,2782,2020
NR,T,TOTAL,CZ,2018W10,2994,10,2018,2018-03-11,2020-03-11,2994,2032
NR,T,TOTAL,CZ,2018W09,2819,9,2018,2018-03-04,2020-03-04,2819,2011
NR,T,TOTAL,CZ,2018W08,2754,8,2018,2018-02-25,2020-02-25,2754,2083
NR,T,TOTAL,CZ,2018W07,2602,7,2018,2018-02-18,2020-02-18,2732,2054
NR,T,TOTAL,CZ,2018W06,2404,6,2018,2018-02-11,2020-02-11,2640,2024
NR,T,TOTAL,CZ,2018W05,2216,5,2018,2018-02-04,2020-02-04,2598,2091
NR,T,TOTAL,CZ,2018W04,2190,4,2018,2018-01-28,2020-01-28,2761,2011
NR,T,TOTAL,CZ,2018W03,2230,3,2018,2018-01-21,2020-01-21,2833,1997
NR,T,TOTAL,CZ,2018W02,2126,2,2018,2018-01-14,2020-01-14,2811,1978
NR,T,TOTAL,CZ,2018W01,2143,1,2018,2018-01-07,2020-01-07,2763,2099
NR,T,TOTAL,CZ,2017W52,2201,52,2017,2017-12-31,2020-12-31,2620,1967
NR,T,TOTAL,CZ,2017W51,2119,51,2017,2017-12-24,2020-12-24,2435,1951
NR,T,TOTAL,CZ,2017W50,2187,50,2017,2017-12-17,2020-12-17,2226,1926
NR,T,TOTAL,CZ,2017W49,2102,49,2017,2017-12-10,2020-12-10,2241,1986
NR,T,TOTAL,CZ,2017W48,2116,48,2017,2017-12-03,2020-12-03,2153,1903
NR,T,TOTAL,CZ,2017W47,2071,47,2017,2017-11-26,2020-11-26,2173,1865
NR,T,TOTAL,CZ,2017W46,2057,46,2017,2017-11-19,2020-11-19,2231,1911
NR,T,TOTAL,CZ,2017W45,2040,45,2017,2017-11-12,2020-11-12,2110,1881
NR,T,TOTAL,CZ,2017W44,2053,44,2017,2017-11-05,2020-11-05,2148,1862
NR,T,TOTAL,CZ,2017W43,2101,43,2017,2017-10-29,2020-10-29,2139,1945
NR,T,TOTAL,CZ,2017W42,2029,42,2017,2017-10-22,2020-10-22,2142,1924
NR,T,TOTAL,CZ,2017W41,2156,41,2017,2017-10-15,2020-10-15,2197,1988
NR,T,TOTAL,CZ,2017W40,2235,40,2017,2017-10-08,2020-10-08,2235,1920
NR,T,TOTAL,CZ,2017W39,2125,39,2017,2017-10-01,2020-10-01,2157,1874
NR,T,TOTAL,CZ,2017W38,2058,38,2017,2017-09-24,2020-09-24,2134,1834
NR,T,TOTAL,CZ,2017W37,1991,37,2017,2017-09-17,2020-09-17,2026,1877
NR,T,TOTAL,CZ,2017W36,1920,36,2017,2017-09-10,2020-09-10,2029,1849
NR,T,TOTAL,CZ,2017W35,1848,35,2017,2017-09-03,2020-09-03,2151,1715
NR,T,TOTAL,CZ,2017W34,1939,34,2017,2017-08-27,2020-08-27,2078,1813
NR,T,TOTAL,CZ,2017W33,1861,33,2017,2017-08-20,2020-08-20,2521,1757
NR,T,TOTAL,CZ,2017W32,1959,32,2017,2017-08-13,2020-08-13,2156,1758
NR,T,TOTAL,CZ,2017W31,2077,31,2017,2017-08-06,2020-08-06,2379,1712
NR,T,TOTAL,CZ,2017W30,1770,30,2017,2017-07-30,2020-07-30,2171,1770
NR,T,TOTAL,CZ,2017W29,1972,29,2017,2017-07-23,2020-07-23,2214,1753
NR,T,TOTAL,CZ,2017W28,1886,28,2017,2017-07-16,2020-07-16,2218,1833
NR,T,TOTAL,CZ,2017W27,1953,27,2017,2017-07-09,2020-07-09,2101,1777
NR,T,TOTAL,CZ,2017W26,1939,26,2017,2017-07-02,2020-07-02,2067,1790
NR,T,TOTAL,CZ,2017W25,2042,25,2017,2017-06-25,2020-06-25,2338,1761
NR,T,TOTAL,CZ,2017W24,1978,24,2017,2017-06-18,2020-06-18,2145,1861
NR,T,TOTAL,CZ,2017W23,1836,23,2017,2017-06-11,2020-06-11,2183,1836
NR,T,TOTAL,CZ,2017W22,2033,22,2017,2017-06-04,2020-06-04,2093,1830
NR,T,TOTAL,CZ,2017W21,1932,21,2017,2017-05-28,2020-05-28,2069,1892
NR,T,TOTAL,CZ,2017W20,1974,20,2017,2017-05-21,2020-05-21,2025,1876
NR,T,TOTAL,CZ,2017W19,2074,19,2017,2017-05-14,2020-05-14,2093,1904
NR,T,TOTAL,CZ,2017W18,2041,18,2017,2017-05-07,2020-05-07,2102,1897
NR,T,TOTAL,CZ,2017W17,2051,17,2017,2017-04-30,2020-04-30,2258,1957
NR,T,TOTAL,CZ,2017W16,2043,16,2017,2017-04-23,2020-04-23,2192,1949
NR,T,TOTAL,CZ,2017W15,1994,15,2017,2017-04-16,2020-04-16,2272,1948
NR,T,TOTAL,CZ,2017W14,2069,14,2017,2017-04-09,2020-04-09,2448,1953
NR,T,TOTAL,CZ,2017W13,2075,13,2017,2017-04-02,2020-04-02,2383,2027
NR,T,TOTAL,CZ,2017W12,2103,12,2017,2017-03-26,2020-03-26,2607,2045
NR,T,TOTAL,CZ,2017W11,2164,11,2017,2017-03-19,2020-03-19,2782,2020
NR,T,TOTAL,CZ,2017W10,2225,10,2017,2017-03-12,2020-03-12,2994,2032
NR,T,TOTAL,CZ,2017W09,2353,9,2017,2017-03-05,2020-03-05,2819,2011
NR,T,TOTAL,CZ,2017W08,2357,8,2017,2017-02-26,2020-02-26,2754,2083
NR,T,TOTAL,CZ,2017W07,2492,7,2017,2017-02-19,2020-02-19,2732,2054
NR,T,TOTAL,CZ,2017W06,2640,6,2017,2017-02-12,2020-02-12,2640,2024
NR,T,TOTAL,CZ,2017W05,2598,5,2017,2017-02-05,2020-02-05,2598,2091
NR,T,TOTAL,CZ,2017W04,2761,4,2017,2017-01-29,2020-01-29,2761,2011
NR,T,TOTAL,CZ,2017W03,2833,3,2017,2017-01-22,2020-01-22,2833,1997
NR,T,TOTAL,CZ,2017W02,2811,2,2017,2017-01-15,2020-01-15,2811,1978
NR,T,TOTAL,CZ,2017W01,2763,1,2017,2017-01-08,2020-01-08,2763,2099
NR,T,TOTAL,CZ,2016W52,2620,52,2016,2017-01-01,2020-01-01,2620,1967
NR,T,TOTAL,CZ,2016W51,2435,51,2016,2016-12-25,2020-12-25,2435,1951
NR,T,TOTAL,CZ,2016W50,2204,50,2016,2016-12-18,2020-12-18,2226,1926
NR,T,TOTAL,CZ,2016W49,2200,49,2016,2016-12-11,2020-12-11,2241,1986
NR,T,TOTAL,CZ,2016W48,2125,48,2016,2016-12-04,2020-12-04,2153,1903
NR,T,TOTAL,CZ,2016W47,2084,47,2016,2016-11-27,2020-11-27,2173,1865
NR,T,TOTAL,CZ,2016W46,2134,46,2016,2016-11-20,2020-11-20,2231,1911
NR,T,TOTAL,CZ,2016W45,1968,45,2016,2016-11-13,2020-11-13,2110,1881
NR,T,TOTAL,CZ,2016W44,1997,44,2016,2016-11-06,2020-11-06,2148,1862
NR,T,TOTAL,CZ,2016W43,2035,43,2016,2016-10-30,2020-10-30,2139,1945
NR,T,TOTAL,CZ,2016W42,2142,42,2016,2016-10-23,2020-10-23,2142,1924
NR,T,TOTAL,CZ,2016W41,2083,41,2016,2016-10-16,2020-10-16,2197,1988
NR,T,TOTAL,CZ,2016W40,1991,40,2016,2016-10-09,2020-10-09,2235,1920
NR,T,TOTAL,CZ,2016W39,1988,39,2016,2016-10-02,2020-10-02,2157,1874
NR,T,TOTAL,CZ,2016W38,1834,38,2016,2016-09-25,2020-09-25,2134,1834
NR,T,TOTAL,CZ,2016W37,1930,37,2016,2016-09-18,2020-09-18,2026,1877
NR,T,TOTAL,CZ,2016W36,1980,36,2016,2016-09-11,2020-09-11,2029,1849
NR,T,TOTAL,CZ,2016W35,1918,35,2016,2016-09-04,2020-09-04,2151,1715
NR,T,TOTAL,CZ,2016W34,2043,34,2016,2016-08-28,2020-08-28,2078,1813
NR,T,TOTAL,CZ,2016W33,1949,33,2016,2016-08-21,2020-08-21,2521,1757
NR,T,TOTAL,CZ,2016W32,1839,32,2016,2016-08-14,2020-08-14,2156,1758
NR,T,TOTAL,CZ,2016W31,1827,31,2016,2016-08-07,2020-08-07,2379,1712
NR,T,TOTAL,CZ,2016W30,1942,30,2016,2016-07-31,2020-07-31,2171,1770
NR,T,TOTAL,CZ,2016W29,1981,29,2016,2016-07-24,2020-07-24,2214,1753
NR,T,TOTAL,CZ,2016W28,1918,28,2016,2016-07-17,2020-07-17,2218,1833
NR,T,TOTAL,CZ,2016W27,1886,27,2016,2016-07-10,2020-07-10,2101,1777
NR,T,TOTAL,CZ,2016W26,1970,26,2016,2016-07-03,2020-07-03,2067,1790
NR,T,TOTAL,CZ,2016W25,1993,25,2016,2016-06-26,2020-06-26,2338,1761
NR,T,TOTAL,CZ,2016W24,1915,24,2016,2016-06-19,2020-06-19,2145,1861
NR,T,TOTAL,CZ,2016W23,1893,23,2016,2016-06-12,2020-06-12,2183,1836
NR,T,TOTAL,CZ,2016W22,2042,22,2016,2016-06-05,2020-06-05,2093,1830
NR,T,TOTAL,CZ,2016W21,2000,21,2016,2016-05-29,2020-05-29,2069,1892
NR,T,TOTAL,CZ,2016W20,1964,20,2016,2016-05-22,2020-05-22,2025,1876
NR,T,TOTAL,CZ,2016W19,2001,19,2016,2016-05-15,2020-05-15,2093,1904
NR,T,TOTAL,CZ,2016W18,1982,18,2016,2016-05-08,2020-05-08,2102,1897
NR,T,TOTAL,CZ,2016W17,2114,17,2016,2016-05-01,2020-05-01,2258,1957
NR,T,TOTAL,CZ,2016W16,1949,16,2016,2016-04-24,2020-04-24,2192,1949
NR,T,TOTAL,CZ,2016W15,2075,15,2016,2016-04-17,2020-04-17,2272,1948
NR,T,TOTAL,CZ,2016W14,2138,14,2016,2016-04-10,2020-04-10,2448,1953
NR,T,TOTAL,CZ,2016W13,2191,13,2016,2016-04-03,2020-04-03,2383,2027
NR,T,TOTAL,CZ,2016W12,2148,12,2016,2016-03-27,2020-03-27,2607,2045
NR,T,TOTAL,CZ,2016W11,2155,11,2016,2016-03-20,2020-03-20,2782,2020
NR,T,TOTAL,CZ,2016W10,2096,10,2016,2016-03-13,2020-03-13,2994,2032
NR,T,TOTAL,CZ,2016W09,2235,9,2016,2016-03-06,2020-03-06,2819,2011
NR,T,TOTAL,CZ,2016W08,2214,8,2016,2016-02-28,2020-02-28,2754,2083
NR,T,TOTAL,CZ,2016W07,2160,7,2016,2016-02-21,2020-02-21,2732,2054
NR,T,TOTAL,CZ,2016W06,2245,6,2016,2016-02-14,2020-02-14,2640,2024
NR,T,TOTAL,CZ,2016W05,2137,5,2016,2016-02-07,2020-02-07,2598,2091
NR,T,TOTAL,CZ,2016W04,2116,4,2016,2016-01-31,2020-01-31,2761,2011
NR,T,TOTAL,CZ,2016W03,2175,3,2016,2016-01-24,2020-01-24,2833,1997
NR,T,TOTAL,CZ,2016W02,2054,2,2016,2016-01-17,2020-01-17,2811,1978
NR,T,TOTAL,CZ,2016W01,2222,1,2016,2016-01-10,2020-01-10,2763,2099
NR,T,TOTAL,CZ,2015W53,2156,53,2015,2016-01-03,2020-01-03,2156,2125
NR,T,TOTAL,CZ,2015W52,2029,52,2015,2015-12-27,2020-12-27,2620,1967
NR,T,TOTAL,CZ,2015W51,2009,51,2015,2015-12-20,2020-12-20,2435,1951
NR,T,TOTAL,CZ,2015W50,2048,50,2015,2015-12-13,2020-12-13,2226,1926
NR,T,TOTAL,CZ,2015W49,2019,49,2015,2015-12-06,2020-12-06,2241,1986
NR,T,TOTAL,CZ,2015W48,1979,48,2015,2015-11-29,2020-11-29,2153,1903
NR,T,TOTAL,CZ,2015W47,1975,47,2015,2015-11-22,2020-11-22,2173,1865
NR,T,TOTAL,CZ,2015W46,2023,46,2015,2015-11-15,2020-11-15,2231,1911
NR,T,TOTAL,CZ,2015W45,2020,45,2015,2015-11-08,2020-11-08,2110,1881
NR,T,TOTAL,CZ,2015W44,2016,44,2015,2015-11-01,2020-11-01,2148,1862
NR,T,TOTAL,CZ,2015W43,2098,43,2015,2015-10-25,2020-10-25,2139,1945
NR,T,TOTAL,CZ,2015W42,2080,42,2015,2015-10-18,2020-10-18,2142,1924
NR,T,TOTAL,CZ,2015W41,2035,41,2015,2015-10-11,2020-10-11,2197,1988
NR,T,TOTAL,CZ,2015W40,2007,40,2015,2015-10-04,2020-10-04,2235,1920
NR,T,TOTAL,CZ,2015W39,1915,39,2015,2015-09-27,2020-09-27,2157,1874
NR,T,TOTAL,CZ,2015W38,1961,38,2015,2015-09-20,2020-09-20,2134,1834
NR,T,TOTAL,CZ,2015W37,1922,37,2015,2015-09-13,2020-09-13,2026,1877
NR,T,TOTAL,CZ,2015W36,1989,36,2015,2015-09-06,2020-09-06,2029,1849
NR,T,TOTAL,CZ,2015W35,1963,35,2015,2015-08-30,2020-08-30,2151,1715
NR,T,TOTAL,CZ,2015W34,1813,34,2015,2015-08-23,2020-08-23,2078,1813
NR,T,TOTAL,CZ,2015W33,2521,33,2015,2015-08-16,2020-08-16,2521,1757
NR,T,TOTAL,CZ,2015W32,2156,32,2015,2015-08-09,2020-08-09,2156,1758
NR,T,TOTAL,CZ,2015W31,1886,31,2015,2015-08-02,2020-08-02,2379,1712
NR,T,TOTAL,CZ,2015W30,2109,30,2015,2015-07-26,2020-07-26,2171,1770
NR,T,TOTAL,CZ,2015W29,1943,29,2015,2015-07-19,2020-07-19,2214,1753
NR,T,TOTAL,CZ,2015W28,2139,28,2015,2015-07-12,2020-07-12,2218,1833
NR,T,TOTAL,CZ,2015W27,2050,27,2015,2015-07-05,2020-07-05,2101,1777
NR,T,TOTAL,CZ,2015W26,1890,26,2015,2015-06-28,2020-06-28,2067,1790
NR,T,TOTAL,CZ,2015W25,1761,25,2015,2015-06-21,2020-06-21,2338,1761
NR,T,TOTAL,CZ,2015W24,1886,24,2015,2015-06-14,2020-06-14,2145,1861
NR,T,TOTAL,CZ,2015W23,1995,23,2015,2015-06-07,2020-06-07,2183,1836
NR,T,TOTAL,CZ,2015W22,2029,22,2015,2015-05-31,2020-05-31,2093,1830
NR,T,TOTAL,CZ,2015W21,1993,21,2015,2015-05-24,2020-05-24,2069,1892
NR,T,TOTAL,CZ,2015W20,1983,20,2015,2015-05-17,2020-05-17,2025,1876
NR,T,TOTAL,CZ,2015W19,1988,19,2015,2015-05-10,2020-05-10,2093,1904
NR,T,TOTAL,CZ,2015W18,2041,18,2015,2015-05-03,2020-05-03,2102,1897
NR,T,TOTAL,CZ,2015W17,2193,17,2015,2015-04-26,2020-04-26,2258,1957
NR,T,TOTAL,CZ,2015W16,2183,16,2015,2015-04-19,2020-04-19,2192,1949
NR,T,TOTAL,CZ,2015W15,2111,15,2015,2015-04-12,2020-04-12,2272,1948
NR,T,TOTAL,CZ,2015W14,2209,14,2015,2015-04-05,2020-04-05,2448,1953
NR,T,TOTAL,CZ,2015W13,2222,13,2015,2015-03-29,2020-03-29,2383,2027
NR,T,TOTAL,CZ,2015W12,2273,12,2015,2015-03-22,2020-03-22,2607,2045
NR,T,TOTAL,CZ,2015W11,2291,11,2015,2015-03-15,2020-03-15,2782,2020
NR,T,TOTAL,CZ,2015W10,2357,10,2015,2015-03-08,2020-03-08,2994,2032
NR,T,TOTAL,CZ,2015W09,2609,9,2015,2015-03-01,2020-03-01,2819,2011
NR,T,TOTAL,CZ,2015W08,2684,8,2015,2015-02-22,2020-02-22,2754,2083
NR,T,TOTAL,CZ,2015W07,2732,7,2015,2015-02-15,2020-02-15,2732,2054
NR,T,TOTAL,CZ,2015W06,2598,6,2015,2015-02-08,2020-02-08,2640,2024
NR,T,TOTAL,CZ,2015W05,2580,5,2015,2015-02-01,2020-02-01,2598,2091
NR,T,TOTAL,CZ,2015W04,2499,4,2015,2015-01-25,2020-01-25,2761,2011
NR,T,TOTAL,CZ,2015W03,2396,3,2015,2015-01-18,2020-01-18,2833,1997
NR,T,TOTAL,CZ,2015W02,2432,2,2015,2015-01-11,2020-01-11,2811,1978
NR,T,TOTAL,CZ,2015W01,2378,1,2015,2015-01-04,2020-01-04,2763,2099
NR,T,TOTAL,CZ,2014W52,2232,52,2014,2014-12-28,2020-12-28,2620,1967
NR,T,TOTAL,CZ,2014W51,2237,51,2014,2014-12-21,2020-12-21,2435,1951
NR,T,TOTAL,CZ,2014W50,2144,50,2014,2014-12-14,2020-12-14,2226,1926
NR,T,TOTAL,CZ,2014W49,2241,49,2014,2014-12-07,2020-12-07,2241,1986
NR,T,TOTAL,CZ,2014W48,2066,48,2014,2014-11-30,2020-11-30,2153,1903
NR,T,TOTAL,CZ,2014W47,1971,47,2014,2014-11-23,2020-11-23,2173,1865
NR,T,TOTAL,CZ,2014W46,1980,46,2014,2014-11-16,2020-11-16,2231,1911
NR,T,TOTAL,CZ,2014W45,2007,45,2014,2014-11-09,2020-11-09,2110,1881
NR,T,TOTAL,CZ,2014W44,2080,44,2014,2014-11-02,2020-11-02,2148,1862
NR,T,TOTAL,CZ,2014W43,2111,43,2014,2014-10-26,2020-10-26,2139,1945
NR,T,TOTAL,CZ,2014W42,2069,42,2014,2014-10-19,2020-10-19,2142,1924
NR,T,TOTAL,CZ,2014W41,2006,41,2014,2014-10-12,2020-10-12,2197,1988
NR,T,TOTAL,CZ,2014W40,2049,40,2014,2014-10-05,2020-10-05,2235,1920
NR,T,TOTAL,CZ,2014W39,2009,39,2014,2014-09-28,2020-09-28,2157,1874
NR,T,TOTAL,CZ,2014W38,2014,38,2014,2014-09-21,2020-09-21,2134,1834
