unit,sex,age,geo,time,values,week,year,date,datum_fiktivni,max,min
NR,T,TOTAL,CZ,2020W14,2277,14,2020,2020-04-05,2020-04-05,2448,1953
NR,T,TOTAL,CZ,2020W13,2267,13,2020,2020-03-29,2020-03-29,2383,2027
NR,T,TOTAL,CZ,2020W12,2301,12,2020,2020-03-22,2020-03-22,2607,2045
NR,T,TOTAL,CZ,2020W11,2281,11,2020,2020-03-15,2020-03-15,2782,2020
NR,T,TOTAL,CZ,2020W10,2272,10,2020,2020-03-08,2020-03-08,2994,2032
NR,T,TOTAL,CZ,2020W09,2338,9,2020,2020-03-01,2020-03-01,2819,2011
NR,T,TOTAL,CZ,2020W08,2332,8,2020,2020-02-23,2020-02-23,2754,2083
NR,T,TOTAL,CZ,2020W07,2383,7,2020,2020-02-16,2020-02-16,2732,2054
NR,T,TOTAL,CZ,2020W06,2340,6,2020,2020-02-09,2020-02-09,2640,2024
NR,T,TOTAL,CZ,2020W05,2350,5,2020,2020-02-02,2020-02-02,2598,2091
NR,T,TOTAL,CZ,2020W04,2321,4,2020,2020-01-26,2020-01-26,2761,2011
NR,T,TOTAL,CZ,2020W03,2230,3,2020,2020-01-19,2020-01-19,2833,1997
NR,T,TOTAL,CZ,2020W02,2304,2,2020,2020-01-12,2020-01-12,2811,1978
NR,T,TOTAL,CZ,2020W01,2299,1,2020,2020-01-05,2020-01-05,2763,2099
NR,T,TOTAL,CZ,2019W52,2245,52,2019,2019-12-29,2020-12-29,2620,1967
NR,T,TOTAL,CZ,2019W51,2248,51,2019,2019-12-22,2020-12-22,2435,1951
NR,T,TOTAL,CZ,2019W50,2226,50,2019,2019-12-15,2020-12-15,2226,1926
NR,T,TOTAL,CZ,2019W49,2078,49,2019,2019-12-08,2020-12-08,2241,1986
NR,T,TOTAL,CZ,2019W48,2134,48,2019,2019-12-01,2020-12-01,2153,1903
NR,T,TOTAL,CZ,2019W47,2173,47,2019,2019-11-24,2020-11-24,2173,1865
NR,T,TOTAL,CZ,2019W46,2231,46,2019,2019-11-17,2020-11-17,2231,1911
NR,T,TOTAL,CZ,2019W45,2110,45,2019,2019-11-10,2020-11-10,2110,1881
NR,T,TOTAL,CZ,2019W44,2066,44,2019,2019-11-03,2020-11-03,2148,1862
NR,T,TOTAL,CZ,2019W43,2139,43,2019,2019-10-27,2020-10-27,2139,1945
NR,T,TOTAL,CZ,2019W42,2099,42,2019,2019-10-20,2020-10-20,2142,1924
NR,T,TOTAL,CZ,2019W41,2197,41,2019,2019-10-13,2020-10-13,2197,1988
NR,T,TOTAL,CZ,2019W40,2153,40,2019,2019-10-06,2020-10-06,2235,1920
NR,T,TOTAL,CZ,2019W39,2157,39,2019,2019-09-29,2020-09-29,2157,1874
NR,T,TOTAL,CZ,2019W38,2030,38,2019,2019-09-22,2020-09-22,2134,1834
NR,T,TOTAL,CZ,2019W37,1944,37,2019,2019-09-15,2020-09-15,2026,1877
NR,T,TOTAL,CZ,2019W36,1922,36,2019,2019-09-08,2020-09-08,2029,1849
NR,T,TOTAL,CZ,2019W35,2151,35,2019,2019-09-01,2020-09-01,2151,1715
NR,T,TOTAL,CZ,2019W34,2011,34,2019,2019-08-25,2020-08-25,2078,1813
NR,T,TOTAL,CZ,2019W33,2026,33,2019,2019-08-18,2020-08-18,2521,1757
NR,T,TOTAL,CZ,2019W32,2027,32,2019,2019-08-11,2020-08-11,2156,1758
NR,T,TOTAL,CZ,2019W31,2010,31,2019,2019-08-04,2020-08-04,2379,1712
NR,T,TOTAL,CZ,2019W30,2171,30,2019,2019-07-28,2020-07-28,2171,1770
NR,T,TOTAL,CZ,2019W29,2034,29,2019,2019-07-21,2020-07-21,2214,1753
