country_name,umrti_2020,umrti_celkem,roku,dlouhodoby_prumer,nadumrti_2020_pct,country_code,name,pop2015,pop2020,pop2017,umrti_1k_prumer,umrti_1k_2020,nadumrti_2020_abs
Peru,214492,325781,3,108593.66666666667,97.517964522179,604,Peru,30470.739,32971.846000000005,31721.292500000003,3.4233682838322763,6.505307588783472,105898.33333333333
Ecuador,115735,215297,3,71765.66666666667,61.26792291578609,218,Ecuador,16212.022,17643.06,16927.541,4.239580141419635,6.5598031180532175,43969.33333333333
Kazakhstan,162613,514245,5,102849,58.10848914427949,398,Kazakhstan,17572.010000000002,18776.707000000002,18174.358500000002,5.659016795558423,8.660357750696114,59764
Mexico,1045794,3494601,5,698920.2,49.62995775483383,484,Mexico,121858.25099999996,128932.753,125395.50199999998,5.573726240993876,8.111158535488652,346873.80000000005
Azerbaijan,75647,227454,4,56863.5,33.03261318772148,31,Azerbaijan,9622.740999999998,10139.175,9880.957999999999,5.754856968322303,7.460863433168873,18783.5
Colombia,301480,1152039,5,230407.8,30.84626475318979,170,Colombia,47520.667,50882.884,49201.7755,4.682916371585004,5.924978623460102,71072.20000000001
Armenia,35371,135237,5,27047.4,30.774122466484766,51,Armenia,2925.5589999999997,2963.2340000000004,2944.3965,9.186059010734459,11.93662059763083,8323.599999999999
Tajikistan,41743,165959,5,33191.8,25.762989654071177,762,Tajikistan,8454.019000000004,9537.642,8995.830500000002,3.6896871278310543,4.376658297721806,8551.199999999997
Oman,10585,42593,5,8518.6,24.25750710210597,512,Oman,4267.340999999999,5106.622000000001,4686.9815,1.8175023733291886,2.0727988090757448,2066.3999999999996
United States,3420543,13980123,5,2796024.6,22.335940821121536,840,United States of America,320878.312,331002.647,325940.4795,8.578328792696029,10.333884127518775,624518.3999999999
Poland,485441,2010274,5,402054.8,20.740008575945378,616,Poland,38034.076,37846.604999999996,37940.3405,10.59702666611545,12.826540187686586,83386.20000000001
Slovenia,24367,101172,5,20234.4,20.423634997825467,705,Slovenia,2071.199,2078.9320000000007,2075.0655000000006,9.751210263001335,11.720922088841768,4132.5999999999985
Chile,127370,424958,4,106239.5,19.889494961855057,152,Chile,17969.356,19116.208999999995,18542.782499999998,5.729425990948231,6.6629319652238594,21130.5
Spain,501099,2093476,5,418695.2,19.68109498269863,724,Spain,46671.919,46754.78300000001,46713.35100000001,8.963073533303143,10.717598667926657,82403.79999999999
Kyrgyzstan,39977,167730,5,33546,19.170690991474395,417,Kyrgyzstan,5959.126,6524.191000000001,6241.6585000000005,5.37453306681229,6.127503011484488,6431
Czechia,131375,556062,5,111212.4,18.129812862594473,203,Czechia,10601.39,10708.982000000004,10655.186000000002,10.437396400213002,12.267739361220325,20162.600000000006
Belgium,128911,547996,5,109599.2,17.620384090394815,56,Belgium,11287.931,11589.615999999998,11438.7735,9.58137688450602,11.122974221061337,19311.800000000003
Bulgaria,126364,544825,5,108965,15.967512504015048,100,Bulgaria,7199.739,6948.445000000001,7074.092000000001,15.403390286696863,18.185939444005097,17399
Brazil,1451276,5043288,4,1260822,15.105542257352745,76,Brazil,204471.75900000002,212559.409,208515.58400000003,6.046655966011633,6.8276253063914,190454
United Kingdom,696697,3030331,5,606066.2,14.953943975097129,826,United Kingdom,65860.149,67886.00399999999,66873.0765,9.06293282319679,10.262748710323267,90630.80000000005
Russia,2124479,9252176,5,1850435.2,14.809694497813265,643,Russian Federation,144985.059,145934.45999999996,145459.7595,12.721285985626837,14.55776106616628,274043.80000000005
Switzerland,76696,334541,5,66908.2,14.628700219106182,756,Switzerland,8296.774999999998,8654.618,8475.696499999998,7.894124099417672,8.861858489883666,9787.800000000003
Malta,4062,17740,5,3548,14.487034949267198,470,Malta,433.55899999999997,441.53899999999993,437.549,8.108806099431149,9.199640348870656,514
South Africa,565989,495271,1,495271,14.278647447559024,710,South Africa,55386.369000000006,59308.69,57347.529500000004,8.636309258971652,9.543104054397425,70718
Qatar,2627,11543,5,2308.6,13.791908515983708,634,Qatar,2565.7079999999996,2881.06,2723.384,0.8476953672342937,0.9118171783996168,318.4000000000001
Netherlands,171175,752511,5,150502.2,13.735878943962266,528,Netherlands,16938.492,17134.873,17036.6825,8.834008616407568,9.989861027858217,20672.79999999999
Portugal,125499,554142,5,110828.4,13.23722078456424,620,Portugal,10368.346000000001,10196.706999999999,10282.5265,10.778323790364167,12.3077970172135,14670.600000000006
