country_name,umrti_2020,umrti_celkem,roku,dlouhodoby_prumer,nadumrti_2020_pct,country_code,name,pop2015,pop2020,pop2017,umrti_1k_prumer,umrti_1k_2020,nadumrti_2020_abs
Uzbekistan,175637,777032,5,155406.4,13.017867989992693,860,Uzbekistan,30929.555999999997,33469.199,32199.3775,4.826379019283835,5.247720448881971,20230.600000000006
Luxembourg,4705,20829,5,4165.8,12.943492246387244,442,Luxembourg,566.741,625.9760000000001,596.3585,6.985395529702352,7.516262604317097,539.1999999999998
Austria,91553,406742,5,81348.4,12.544315561215713,40,Austria,8678.667,9006.400000000001,8842.533500000001,9.199671112357107,10.16532687866406,10204.600000000006
France,678115,3018317,5,603663.4,12.333296999619314,250,France,64453.19399999999,65273.511999999995,64863.35299999999,9.306694336322701,10.38882357057791,74451.59999999998
Romania,293676,1307392,5,261478.4,12.313674858037981,642,Romania,19925.182,19237.682,19581.432,13.353384982262789,15.265664543160657,32197.600000000006
Serbia,114954,512607,5,102521.4,12.12683400733896,688,Serbia,8876.777,8737.369999999999,8807.073499999999,11.640802134784048,13.156590598772858,12432.600000000006
Israel,49442,223371,5,44674.2,10.672379136056165,376,Israel,7978.496,8655.541,8317.0185,5.371420058762644,5.712179053856946,4767.800000000003
Slovakia,59264,267786,5,53557.2,10.655523440359094,703,Slovakia,5435.614,5459.643,5447.6285,9.831287137146008,10.854922199125474,5706.800000000003
Sweden,99646.9,455148.6,5,91029.72,9.466336928203223,752,Sweden,9764.949,10099.270000000002,9932.109500000002,9.165194966889961,9.866742843789696,8617.179999999993
Hungary,142494,651454,5,130290.8,9.366125620534982,348,Hungary,9777.925,9660.349999999999,9719.137499999999,13.40559283166845,14.750397242335943,12203.199999999997
Cyprus,6423,29442,5,5888.4,9.07886692480131,196,Cyprus,1160.9869999999999,1207.3609999999999,1184.174,4.972580043135553,5.3198670488776765,534.6000000000004
Croatia,57533,263836,5,52767.2,9.031746994344969,191,Croatia,4232.874000000001,4105.268,4169.071,12.656824505987064,14.014432188105625,4765.800000000003
Lithuania,43824,201017,5,40203.4,9.005705985065937,440,Lithuania,2931.8720000000003,2722.291,2827.0815000000002,14.220813938331808,16.098205518807504,3620.5999999999985
Hong Kong,50653,235486,5,47097.2,7.549918041836889,344,"China, Hong Kong SAR",7185.992,7496.987999999999,7341.49,6.415209991432257,6.756446722337024,3555.800000000003
Germany,1000390,3724727,4,931181.75,7.432303092280312,276,Germany,81787.41100000002,83783.945,82785.67800000001,11.248101996579647,11.940115734583754,69208.25
South Korea,308318,1436681,5,287336.2,7.302177727693193,410,Republic of Korea,50823.087000000014,51269.18299999999,51046.135,5.628951143901492,6.013710029278213,20981.79999999999
Italy,687086,3230473,5,646094.6,6.344488872063003,380,Italy,60578.488999999994,60461.827999999994,60520.15849999999,10.67569246369373,11.363963391910678,40991.40000000002
Mauritius,11060,52022,5,10404.4,6.30118026988582,480,Mauritius,1259.4569999999999,1271.7669999999998,1265.6119999999999,8.220844935098594,8.696561555693773,655.6000000000004
Ukraine,616835,2921328,5,584265.6,5.574416840560192,804,Ukraine,44921.636,43733.759,44327.697499999995,13.180598879515456,14.10432156083359,32569.400000000023
Ireland,32267,61349,2,30674.5,5.191608665177916,372,Ireland,4652.42,4937.796,4795.108,6.397040483759699,6.534696856654264,1592.5
Estonia,16190,77287,5,15457.4,4.739477531797065,233,Estonia,1315.3299999999997,1326.5390000000002,1320.9344999999998,11.701867125129976,12.204692059562515,732.6000000000004
Macao,2230,10721,5,2144.2,4.001492398097195,446,"China, Macao SAR",602.0930000000001,649.3420000000001,625.7175000000001,3.4267860496150413,3.4342457441533116,85.80000000000018
Thailand,501438,1929097,4,482274.25,3.9736208184451005,764,Thailand,68714.519,69799.978,69257.2485,6.963520215504952,7.1839277657078915,19163.75
Denmark,55477,268000,5,53600,3.5018656716417906,208,Denmark,5688.695,5792.203000000001,5740.4490000000005,9.337248706503619,9.577875637300693,1877
Finland,55659,268928,5,53785.6,3.4830884102808213,246,Finland,5481.128000000001,5540.718000000001,5510.923000000001,9.759817003431184,10.045448983326708,1873.4000000000015
Malaysia,174300,676100,4,169025,3.1208401124094065,458,Malaysia,30270.964999999997,32365.998,31318.481499999998,5.396973030125998,5.385281183048952,5275
Iceland,2321,11255,5,2251,3.1097290093291763,352,Iceland,330.2370000000001,341.25,335.74350000000004,6.704522946832924,6.801465201465201,70
Japan,1376426,6689480,5,1337896,2.87989499931236,392,Japan,127985.139,126476.45799999998,127230.79849999999,10.515504231469553,10.882863275630317,38530
Latvia,28989,142449,5,28489.8,1.752206052692551,428,Latvia,1997.6749999999997,1886.2020000000002,1941.9385,14.670804456474805,15.368979568466154,499.2000000000007
North Macedonia,20589,101339,5,20267.8,1.584779798498115,807,North Macedonia,2079.335,2083.38,2081.3575,9.737779309897507,9.882498632030641,321.2000000000007
New Zealand,33170,164012,5,32802.4,1.120649708557897,554,New Zealand,4614.527,4822.232999999999,4718.379999999999,6.952047100911755,6.878556054840155,367.59999999999854
Norway,41151,203816,5,40763.2,0.9513482749146318,578,Norway,5199.826999999999,5421.241999999999,5310.5345,7.675912848320635,7.590696006560859,387.8000000000029
Greece,121444,609999,5,121999.8,-0.45557451733527765,300,Greece,10659.737000000003,10423.056,10541.396500000003,11.573400165718079,11.651477263482034,-555.8000000000029
Mongolia,15922,82903,5,16580.6,-3.972111986297233,496,Mongolia,2998.432999999999,3278.2919999999995,3138.3624999999993,5.28320103238552,4.8567973810752685,-658.5999999999985
Moldova,35882,189110,5,37822,-5.129289831315109,498,Republic of Moldova,4070.704999999999,4033.9629999999997,4052.3339999999994,9.333386635948568,8.894974991094367,-1940
Iran,347465,1883387,5,376677.4,-7.7552834335163245,364,Iran (Islamic Republic of),78492.208,83992.953,81242.5805,4.6364529250766475,4.1368351461580355,-29212.400000000023
Philippines,493272,2933148,5,586629.6,-15.914232762888192,608,Philippines,102113.206,109581.08499999999,105847.1455,5.5422335409130135,4.5014338012805775,-93357.59999999998
Australia,116329,702360,5,140472,-17.187055071473324,36,Australia,23932.498999999996,25499.881,24716.19,5.683400232802872,4.56194285769412,-24143
Albania,17701,109631,5,21926.2,-19.270096961625814,8,Albania,2890.524,2877.8,2884.1620000000003,7.602277541968863,6.150879143790395,-4225.200000000001
Singapore,16617,103512,5,20702.4,-19.73394389056342,702,Singapore,5592.143,5850.342999999999,5721.2429999999995,3.6185143682937437,2.8403462839700175,-4085.4000000000015
Egypt,449879,2806453,5,561290.6,-19.849183292932395,818,Egypt,92442.54900000003,102334.40299999999,97388.47600000001,5.763419072293522,4.396165774280229,-111411.59999999998
Bosnia,27925,109771,3,36590.333333333336,-23.68202895118019,70,Bosnia and Herzegovina,3429.361999999999,3280.8149999999996,3355.0884999999994,10.905921955064178,8.5116045860556,-8665.333333333336
Montenegro,4926,32433,5,6486.6,-24.058828970493018,499,Montenegro,626.957,628.0619999999999,627.5094999999999,10.337054658136653,7.843174718419521,-1560.6000000000004
Tunisia,49956,332786,5,66557.2,-24.9427560053608,788,Tunisia,11179.951,11818.618000000002,11499.284500000002,5.787942719392671,4.226890149085112,-16601.199999999997
Belarus,66905,599657,5,119931.4,-44.21394230368361,112,Belarus,9439.424000000003,9449.321,9444.372500000001,12.698715557862629,7.080402919955836,-53026.399999999994
Costa Rica,11551,112990,5,22598,-48.88485706699708,188,Costa Rica,4847.805,5094.114,4970.9595,4.546003643763342,2.2675189444131014,-11047
Georgia,23483,241033,5,48206.6,-51.28675326615028,268,Georgia,4024.18,3989.175,4006.6775,12.031564806501148,5.886680829996177,-24723.6
